,Unnamed: 0,location,tiplabel,Family,Subfamily,n,range,alt_max,alt_mid,alt_min,dry_weight,body_length,wing_length,CTmax,CTmin,CTrange,range_1,range(%),alt_max(%),alt_min(%),Tmax,Tmin,Tmean,DTR
54,20,MC,Notodontidae_Notodontinae,Notodontidae,Notodontinae,55,2617,2960,1511.0,343,0.080164,18.04627451,22.046,48.8,-3.0,51.8,2617.000001,0.9356453342867358,0.9426751592356688,0.1092356687898089,24.2957211,17.18614029,19.93321032,7.109580808
55,21,MC,Notodontidae_Phalerinae,Notodontidae,Phalerinae,10,1495,2039,1511.0,544,0.09333,18.721,24.769,46.4,0.5,45.9,1495.000001,0.5345012513407222,0.6493630573248408,0.1732484076433121,24.2957211,17.18614029,19.93321032,7.109580808
56,22,MC,Nolidae_Chloephorinae,Nolidae,Chloephorinae,53,2416,2960,1734.0,544,0.046715686,14.82352941,16.8434,47.8,-4.2,52.0,2416.000001,0.8637826242402574,0.9426751592356688,0.1732484076433121,22.50897034,15.87026886,18.48733947,6.638701483
57,23,MC,Geometridae_Ennominae,Geometridae,Ennominae,667,2797,3140,1734.0,343,0.042954839,16.75151515,25.00357686,48.7,-4.6,53.3,2797.000001,1.0,1.0,0.1092356687898089,22.50897034,15.87026886,18.48733947,6.638701483
58,24,MC,Crambidae_Spilomelinae,Crambidae,Spilomelinae,82,2078,2421,1734.0,343,0.014639506,14.52469136,16.28246914,46.0,-4.7,50.7,2078.000001,0.7429388630675724,0.7710191082802548,0.1092356687898089,22.50897034,15.87026886,18.48733947,6.638701483
59,25,MC,Noctuidae_Acronictinae,Noctuidae,Acronictinae,95,1850,2960,2039.0,1110,0.055988172,17.0137234,17.99106383,48.6,-2.8,51.4,1850.000001,0.6614229531641044,0.9426751592356688,0.3535031847133758,21.01578738,14.43773481,16.9834213,6.578052575
60,26,MC,Lasiocampidae_Lasiocampinae,Lasiocampidae,Lasiocampinae,81,2797,3140,2039.0,343,0.113821918,21.81189189,25.628,46.8,-2.9,49.7,2797.000001,1.0,1.0,0.1092356687898089,21.01578738,14.43773481,16.9834213,6.578052575
61,27,MC,Noctuidae_Pantheinae,Noctuidae,Pantheinae,28,1705,2960,2039.0,1255,0.052825,16.90714286,19.9225,46.9,-2.2,49.1,1705.000001,0.6095816946728638,0.9426751592356688,0.3996815286624204,21.01578738,14.43773481,16.9834213,6.578052575
62,28,MC,Noctuidae_Amphipyrinae,Noctuidae,Amphipyrinae,19,921,2960,2194.5,2039,0.197763158,23.30263158,28.49611111,46.0,-2.1,48.1,921.000001,0.3292813728995352,0.9426751592356688,0.6493630573248408,19.82872728,13.83537879,16.08806755,5.993348485
63,29,MC,Geometridae_Larentiinae,Geometridae,Larentiinae,10,2797,3140,2350.0,343,0.01116,11.505,15.753,44.1,-4.3,48.4,2797.000001,1.0,1.0,0.1092356687898089,19.4074495,13.37995707,15.76611579,6.027492424
64,30,MC,Drepanidae_Thyatirinae,Drepanidae,Thyatirinae,19,688,2727,2350.0,2039,0.041094737,17.56,21.06473684,41.8,-3.0,44.8,688.000001,0.2459778333929209,0.8684713375796178,0.6493630573248408,19.4074495,13.37995707,15.76611579,6.027492424
65,31,MC,Noctuidae_Noctuinae,Noctuidae,Noctuinae,361,2797,3140,2421.0,343,0.065581232,16.5885,19.15259053,47.4,-4.1,51.5,2797.000001,1.0,1.0,0.1092356687898089,18.60344358,12.39271824,14.86120593,6.210725338
66,32,MC,Noctuidae_Psaphidinae,Noctuidae,Psaphidinae,20,1226,2960,2727.0,1734,0.041184211,13.45210526,16.9305,44.4,-3.4,47.8,1226.000001,0.4383267786914551,0.9426751592356688,0.5522292993630573,17.26904468,9.694438623,12.69087,7.574606061
67,0,SJ,Erebidae_Herminiinae,Erebidae,Herminiinae,42,1140,2000,860.0,860,0.014741463,11.82166667,15.06146341,47.8,-3.6,51.4,1140.000001,0.3462940461725395,0.4816955684007707,0.2071290944123314,29.70268083,19.61028811,22.7945244,10.09239272
68,1,SJ,Erebidae_Hypeninae,Erebidae,Hypeninae,29,1140,2000,860.0,860,0.013334483,11.6562963,14.0662069,47.0,-2.6,49.6,1140.000001,0.3462940461725395,0.4816955684007707,0.2071290944123314,29.70268083,19.61028811,22.7945244,10.09239272
69,2,SJ,Notodontidae_Periergosinae,Notodontidae,Periergosinae,8,0,860,860.0,860,0.1712125,25.63285714,35.78428571,42.5,-3.6,46.1,1e-06,0.0,0.2071290944123314,0.2071290944123314,29.70268083,19.61028811,22.7945244,10.09239272
70,3,SJ,Cossidae_Zeuzerinae,Cossidae,Zeuzerinae,3,634,1494,1177.0,860,0.248866667,30.04666667,26.94333333,48.9,7.9,41.0,634.000001,0.1925880923450789,0.3598265895953757,0.2071290944123314,28.65974733,17.88635121,21.5371754,10.77339612
71,4,SJ,Erebidae_Erebinae,Erebidae,Erebinae,54,1140,2000,1295.0,860,0.04942037,16.04611111,21.37557692,48.1,-3.4,51.5,1140.000001,0.3462940461725395,0.4816955684007707,0.2071290944123314,28.14745119,17.59178938,21.31704196,10.55566181
